name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
los angeles,2025-01-26,53.6,49.8,51.5,53.6,47.7,51.4,45.9,81.2,0.542,100,50,rain,0,0,23,11.7,116.8,1016.4,93.6,9.4,59.6,5.1,2,,2025-01-26T06:53:46,2025-01-26T17:17:58,0.91,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-01-27,58.8,47.1,52.1,58.8,44.3,52,42.9,72.4,0.287,100,16.67,rain,0,0,11.9,12,250.9,1018.7,44.7,9.5,132.1,11.3,6,,2025-01-27T06:53:11,2025-01-27T17:18:58,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-01-28,59.1,44.8,51.8,59.1,44.8,51.8,42.5,71,0,0,0,,0,0,16.3,9.6,244.9,1017.8,24,9.9,136.3,11.7,6,,2025-01-28T06:52:34,2025-01-28T17:19:57,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-01-29,60.4,46.9,53.2,60.4,46.9,53.2,44.4,73.3,0,0,0,,0,0,16.1,11.2,260.7,1020.5,25.6,9.8,154.5,13.4,6,,2025-01-29T06:51:56,2025-01-29T17:20:57,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-01-30,57.2,49.6,53.1,57.2,49.6,53.1,44.3,72.5,0,0,0,,0,0,10.1,8.7,297.1,1023.5,61.9,9.4,77.3,6.7,4,,2025-01-30T06:51:15,2025-01-30T17:21:57,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-01-31,61.4,44.5,52.7,61.4,44.5,52.7,43.5,71.8,0,0,0,,0,0,13.2,11.8,282.2,1023.9,14.2,9.6,142,12.3,6,,2025-01-31T06:50:34,2025-01-31T17:22:56,0.08,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,72295603167,F1624,CQ070"
los angeles,2025-02-01,66.4,47.3,56.7,66.4,47.3,56.7,47.6,73.5,0,0,0,,0,0,15,11.4,262.7,1020.2,18.3,9,157.5,13.5,6,,2025-02-01T06:49:50,2025-02-01T17:23:56,0.12,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-02-02,67.1,53.4,58.2,67.1,53.4,58.2,52.6,82.5,0,0,0,,0,0,14.5,9.2,272.6,1018.3,58.1,4.7,160.4,13.8,6,,2025-02-02T06:49:06,2025-02-02T17:24:55,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-02-03,61.2,51,55.7,61.2,51,55.7,42.5,65.2,0,0,0,,0,0,13,10.3,241,1014.2,46.6,5.7,147.3,12.7,6,,2025-02-03T06:48:19,2025-02-03T17:25:54,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-02-04,63.2,51.7,57.1,63.2,51.7,57.1,43.6,61.4,0.003,100,4.17,rain,0,0,17.7,10.5,153.2,1015.3,65.6,9.4,104,9,6,,2025-02-04T06:47:32,2025-02-04T17:26:53,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-02-05,62.5,52.6,56.6,62.5,52.6,56.6,54.3,92.3,0.243,100,66.67,rain,0,0,20.8,10.9,114.8,1017.6,99.7,4.9,66.8,5.5,3,,2025-02-05T06:46:43,2025-02-05T17:27:52,0.25,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-02-06,61.4,56.5,58.2,61.4,56.5,58.2,55.9,92.1,0.285,100,62.5,rain,0,0,30,11.8,162.4,1017,99.8,5.9,54.2,4.8,4,,2025-02-06T06:45:52,2025-02-06T17:28:50,0.3,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-02-07,60.4,52.4,58,60.4,52.4,58,53.4,85.5,0.39,100,41.67,rain,0,0,19.7,11.7,227.2,1019.1,69.9,8.2,99.5,8.4,4,,2025-02-07T06:45:00,2025-02-07T17:29:48,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KHHR,72295023174,KBUR,72295603167,F1624,CQ070"
los angeles,2025-02-08,62.5,47.1,54.7,62.5,47.1,54.7,46.8,76.1,0,0,0,,0,0,14.5,8.5,264.7,1019.3,15.2,9.9,175.2,15,7,,2025-02-08T06:44:07,2025-02-08T17:30:46,0.37,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-02-09,68,46.9,56.5,68,46.9,56.5,41.7,60.7,0,0,0,,0,0,13.2,10.6,253.8,1017.1,12.2,9.9,172,14.8,7,,2025-02-09T06:43:12,2025-02-09T17:31:44,0.4,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-02-10,60.9,47.4,54.2,60.9,47.4,54.2,44.8,71.2,0,0,0,,0,0,13.9,9.4,206.2,1017,51.6,9.9,148.2,12.7,6,,2025-02-10T06:42:16,2025-02-10T17:32:41,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-02-11,59.9,50.7,54.7,59.9,50.7,54.7,42.6,63.8,0,0,0,,0,0,23,15.5,249.3,1013.8,46,9.9,156,13.4,7,,2025-02-11T06:41:19,2025-02-11T17:33:39,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-02-12,55.2,49.4,52.4,55.2,46.5,52.1,48.3,86.1,0.104,100,37.5,rain,0,0,21.9,12,112.1,1013.3,97.2,7,44.3,3.7,2,,2025-02-12T06:40:21,2025-02-12T17:34:35,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-02-13,58.4,53.3,56.3,58.4,53.3,56.3,54.4,93.4,1.535,100,95.83,rain,0,0,27.6,13.7,180.5,1014.6,99.4,5.5,13.4,1.1,1,,2025-02-13T06:39:21,2025-02-13T17:35:32,0.54,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-02-14,61.1,53.1,57.2,61.1,53.1,57.2,49.5,76.4,0.014,100,16.67,rain,0,0,32.5,20.8,269.4,1018.7,53.4,9.4,162.4,14.1,7,,2025-02-14T06:38:20,2025-02-14T17:36:28,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-02-15,67.4,47.3,56.5,67.4,47.3,56.5,44.3,65.8,0,0,0,,0,0,11.9,11.1,286.3,1022.3,10.1,9.9,188.8,16.4,7,,2025-02-15T06:37:18,2025-02-15T17:37:24,0.61,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-02-16,70.6,48.9,58.8,70.6,48.9,58.8,41,55.1,0,0,0,,0,0,11.4,8.8,267.5,1017.4,12.2,9.9,171.5,15,7,,2025-02-16T06:36:15,2025-02-16T17:38:19,0.64,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-02-17,64.7,49.5,56.9,64.7,49.2,56.9,48.1,73.1,0,0,0,,0,0,14.3,10.3,210,1014.8,13.3,9.9,179.8,15.7,7,,2025-02-17T06:35:11,2025-02-17T17:39:15,0.67,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-02-18,63.9,51.7,57,63.9,51.7,57,49,75.4,0,0,0,,0,0,13,11.2,244,1016.7,25.9,9.1,180.3,15.6,7,,2025-02-18T06:34:06,2025-02-18T17:40:09,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-02-19,67.3,50.7,57.9,67.3,50.7,57.9,49.1,73.9,0,0,0,,0,0,15.4,9.1,264,1017.9,15.3,8.1,190.2,16.5,7,,2025-02-19T06:33:00,2025-02-19T17:41:04,0.73,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-02-20,67.5,51.4,58.9,67.5,51.4,58.9,48.5,70.4,0,0,0,,0,0,12.3,11.2,236.7,1015,21.9,7.2,202.3,17.3,7,,2025-02-20T06:31:53,2025-02-20T17:41:58,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-02-21,72.2,52.4,59.9,72.2,52.4,59.9,47.4,65.9,0,0,0,,0,0,16.1,11.2,272.6,1018,30.4,8,205.4,17.7,8,,2025-02-21T06:30:45,2025-02-21T17:42:52,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-02-22,70.5,48.1,58.6,70.5,48.1,58.5,44.8,62.3,0,0,0,,0,0,12.3,8.6,272.2,1022.2,21.3,7.5,199.2,17.2,7,,2025-02-22T06:29:36,2025-02-22T17:43:45,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,72295603167,F1624,CQ070"
los angeles,2025-02-23,74.3,50,61.2,74.3,50,61.2,43.7,55.7,0,0,0,,0,0,18.1,13.3,270.9,1022.2,0.6,9,209.7,18.2,8,,2025-02-23T06:28:26,2025-02-23T17:44:38,0.86,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-02-24,71.9,53.5,61.1,71.9,53.5,61.1,48.2,64.2,0,0,0,,0,0,15.2,11.2,245.7,1018.7,4.8,9.5,206,17.8,7,,2025-02-24T06:27:15,2025-02-24T17:45:31,0.9,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-02-25,71,51.9,60.4,71,51.9,60.4,50.6,71.8,0,0,0,,0,0,17.4,9.9,204.7,1014.3,17.7,8.1,212.9,18.3,8,,2025-02-25T06:26:03,2025-02-25T17:46:23,0.93,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,72295603167,F1624,CQ070"
los angeles,2025-02-26,71.4,52.6,60.2,71.4,52.6,60.2,48.6,67.9,0,0,0,,0,0,13,8.1,271.5,1014.3,29,5.4,216.4,18.7,8,,2025-02-26T06:24:51,2025-02-26T17:47:15,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
