temp,humidity,precip,windspeed,conditions,cloudcover,visibility,solarradiation,pm25
20.4,70.6,0.0,11.4,2.0,27.2,15.6,274.4,56
16.4,70.4,0.88,23.3,3.0,44.9,15.8,147.5,44
12.5,84.9,39.667,21.3,6.0,100.0,9.0,10.4,70
17.2,57.5,0.0,10.7,1.0,3.1,15.9,222.9,21
21.4,75.7,0.0,18.9,1.0,1.4,16.0,215.8,40
14.4,55.5,0.0,9.4,1.0,1.8,15.7,92.8,41
12.1,62.3,0.0,12.8,1.0,5.5,16.0,133.8,26
20.5,66.3,0.0,20.9,1.0,1.8,15.9,143.4,36
20.7,27.6,0.0,7.6,1.0,1.4,16.0,108.0,28
19.9,24.1,0.0,7.9,1.0,1.2,16.0,77.3,43
18.2,78.3,0.0,11.2,2.0,62.1,15.4,60.4,39
14.2,70.4,0.0,8.9,2.0,24.8,13.1,128.3,41
18.2,49.5,0.0,9.6,2.0,75.0,15.9,51.3,47
13.7,78.3,0.0,10.6,2.0,22.3,10.5,136.8,72
15.7,63.7,0.0,23.6,2.0,30.8,16.0,224.5,27
16.5,73.5,0.0,10.6,2.0,86.7,16.0,76.2,52
16.9,68.3,0.0,16.4,2.0,63.6,15.9,272.0,36
20.2,75.1,0.0,19.7,2.0,47.1,11.7,343.0,60
17.6,79.3,0.0,17.2,2.0,58.2,12.2,233.7,54
15.8,59.0,0.0,16.9,1.0,7.1,15.7,179.4,41
18.3,40.6,0.0,17.6,1.0,14.6,16.0,156.2,46
15.3,21.0,0.0,12.0,1.0,19.4,16.0,80.1,60
12.7,74.5,0.0,15.4,2.0,28.8,15.8,121.7,41
65.0,34.8,0.0,9.3,1.0,1.4,9.8,165.7,70
66.8,66.6,0.0,8.2,2.0,52.7,9.9,232.3,30
69.7,70.3,0.0,12.8,2.0,58.1,9.8,259.8,60
73.5,67.8,0.0,7.3,1.0,5.4,7.0,218.8,66
71.0,76.0,0.0,6.4,2.0,37.9,5.8,182.7,69
56.5,62.9,0.0,5.2,1.0,5.8,9.9,127.4,47
20.0,29.5,0.0,5.5,1.0,1.0,15.9,143.4,50
9.5,46.6,0.0,11.1,1.0,9.3,15.9,162.8,11
20.3,49.3,0.0,13.2,1.0,0.3,15.7,337.3,49
17.8,66.5,0.0,11.9,5.0,98.7,15.7,107.7,47
22.0,70.0,0.0,8.6,2.0,46.7,15.6,294.3,71
21.5,70.6,0.0,19.1,1.0,14.5,14.6,353.0,60
23.7,65.6,0.0,13.6,1.0,3.7,14.9,299.9,67
24.0,56.7,0.0,25.0,1.0,12.3,16.0,245.7,56
18.9,77.3,0.0,8.3,5.0,90.2,15.3,66.2,53
18.1,73.3,0.266,11.5,3.0,72.5,15.8,89.6,41
14.5,83.7,0.0,8.4,2.0,46.8,8.5,104.8,77
18.7,58.5,0.0,10.7,1.0,3.1,15.8,241.0,40
18.2,74.3,0.0,9.9,5.0,90.7,15.9,179.3,57
27.8,57.8,0.0,11.5,1.0,5.4,15.7,161.4,62
23.5,66.7,0.0,24.3,1.0,2.2,15.8,221.2,50
20.5,79.3,0.692,17.8,3.0,72.5,15.6,164.0,51
13.5,46.1,0.0,18.9,1.0,0.0,15.9,87.7,43
18.3,77.5,0.0,17.6,2.0,68.5,12.9,174.3,61
18.2,70.1,0.0,13.0,2.0,26.1,15.8,215.1,43
25.2,66.8,0.0,20.1,1.0,9.4,14.2,208.3,65
23.1,72.1,0.0,21.0,2.0,41.6,15.0,196.7,26
17.8,63.1,0.0,10.6,2.0,51.7,16.0,56.7,28
20.2,70.9,0.0,8.4,1.0,6.1,15.8,124.6,50
15.5,83.7,2.319,10.1,6.0,91.5,15.2,83.5,47
13.8,43.2,0.0,13.4,1.0,1.1,16.0,188.3,17
15.6,77.6,0.0,10.6,2.0,60.0,12.5,161.0,36
12.5,52.8,0.0,17.5,1.0,1.5,16.0,306.3,32
16.7,77.4,0.0,20.9,2.0,89.9,14.0,204.5,67
22.3,75.5,0.0,15.2,2.0,38.7,14.4,248.5,130
18.1,75.9,0.0,27.5,2.0,53.8,14.8,109.4,69
68.1,71.5,0.0,10.3,2.0,47.0,9.0,332.2,50
57.8,68.1,0.0,6.1,2.0,22.7,9.3,115.2,28
62.8,67.4,0.0,7.9,2.0,23.8,8.0,218.8,38
75.1,49.7,0.0,6.6,1.0,0.7,9.8,364.5,34
74.3,67.6,0.0,6.4,1.0,6.8,8.8,337.8,55
75.1,60.8,0.0,5.2,1.0,0.2,8.1,340.3,64
83.4,50.2,0.0,6.3,1.0,1.0,7.8,273.4,79
13.6,60.5,0.0,29.0,2.0,63.3,16.0,168.6,20
17.6,62.5,0.0,9.3,1.0,15.7,15.4,300.2,38
17.1,64.3,0.0,22.7,1.0,4.3,15.5,289.5,59
19.1,70.4,0.0,12.3,2.0,31.4,11.7,336.9,75
17.3,70.6,0.0,11.2,2.0,70.0,12.9,300.4,82
14.9,79.2,0.0,8.8,2.0,52.6,5.2,117.5,100
16.0,52.4,0.0,6.5,1.0,0.2,15.6,126.1,51
11.8,52.6,0.0,11.7,1.0,0.4,15.3,118.1,34
9.6,78.5,0.818,11.7,3.0,52.8,14.5,44.0,20
16.0,52.7,0.0,14.3,1.0,6.4,16.0,179.5,31
15.3,74.1,0.064,17.7,3.0,39.3,15.4,197.8,56
15.4,29.9,0.0,18.3,1.0,0.2,16.0,277.8,26
15.9,66.0,0.0,12.2,2.0,62.8,15.5,193.5,65
20.5,72.7,0.0,14.1,2.0,34.1,16.0,289.4,89
22.2,72.2,0.0,11.6,1.0,4.1,15.9,153.9,43
21.5,78.1,0.0,19.3,2.0,53.8,10.1,198.6,66
20.6,80.5,0.0,10.1,2.0,47.8,13.8,172.3,38
16.3,31.1,0.0,10.7,1.0,3.0,15.8,138.0,37
9.0,72.6,1.183,10.9,3.0,62.7,15.6,132.5,18
22.5,76.1,0.0,17.7,2.0,46.1,12.8,211.4,31
26.2,55.5,0.0,12.5,1.0,0.0,15.5,207.8,53
20.7,75.2,0.0,13.9,2.0,53.6,14.4,162.5,49
19.9,69.6,0.0,10.8,2.0,64.8,15.9,52.8,32
19.2,76.1,0.0,11.3,2.0,24.8,15.8,104.2,24
17.6,34.0,0.0,11.5,1.0,0.7,16.0,64.1,36
14.4,82.0,0.0,6.5,5.0,94.9,9.9,42.5,72
13.6,67.1,0.0,18.9,1.0,18.9,16.0,204.9,18
17.2,58.7,0.0,14.8,1.0,1.1,16.0,295.9,25
22.1,68.5,0.0,21.3,1.0,17.1,16.0,280.7,38
17.9,83.2,0.0,19.7,2.0,63.2,12.0,214.3,57
15.4,78.2,0.351,14.8,3.0,64.8,15.4,105.4,48
14.5,61.8,0.0,33.4,2.0,40.5,15.9,117.6,44
13.8,40.7,0.0,24.1,1.0,5.3,16.0,155.0,31
64.1,34.0,0.0,9.0,2.0,22.0,9.9,185.0,46
59.6,68.1,0.0,6.4,1.0,16.0,6.8,192.5,64
67.0,70.0,0.0,7.9,2.0,62.9,3.3,236.8,71
67.1,62.9,0.0,9.0,2.0,48.6,7.1,310.8,57
77.2,53.4,0.0,10.1,1.0,2.0,6.0,208.5,91
69.5,68.3,0.0,11.5,2.0,63.6,8.7,117.3,66
66.4,38.1,0.0,5.2,1.0,0.1,9.7,161.0,66
55.4,44.5,0.0,7.4,1.0,8.2,9.9,133.1,34
15.8,65.9,0.0,10.5,2.0,26.6,16.0,160.7,34
16.2,57.9,0.0,7.9,1.0,1.4,15.0,213.0,33
14.6,67.7,0.0,11.7,2.0,78.1,15.8,94.1,47
18.1,70.8,0.0,12.7,2.0,66.3,15.3,248.8,61
19.3,66.3,0.0,13.7,2.0,52.9,15.9,301.4,59
21.3,71.6,0.0,20.5,2.0,44.9,12.8,286.3,74
20.3,75.3,0.0,16.7,2.0,30.6,12.6,303.5,61
16.1,84.0,0.0,7.3,2.0,61.0,3.5,159.4,92
11.2,41.2,0.0,10.9,1.0,0.0,16.0,124.8,46
19.0,48.8,0.0,22.1,1.0,2.9,15.7,212.8,40
16.6,72.6,0.0,11.8,1.0,19.6,12.3,234.3,46
15.3,26.5,0.0,20.4,1.0,18.2,16.0,283.8,57
16.6,78.4,0.0,13.0,5.0,98.3,12.4,205.0,60
21.9,70.3,0.0,14.4,1.0,17.6,14.0,316.7,59
19.0,74.2,0.0,17.3,2.0,55.5,15.2,175.0,56
23.3,67.7,0.0,13.4,1.0,14.3,16.0,221.8,38
17.2,66.1,0.0,11.6,1.0,3.6,15.9,168.5,36
16.0,34.6,0.0,10.2,1.0,0.3,16.0,140.3,41
12.1,71.4,0.0,13.6,1.0,5.0,15.9,57.6,29
11.6,68.5,0.0,6.9,1.0,2.5,15.9,62.1,39
13.5,46.8,0.0,10.9,1.0,1.2,15.9,82.3,38
13.4,42.4,0.0,7.8,1.0,4.1,15.9,100.9,41
15.0,44.4,0.0,9.5,1.0,4.6,16.0,129.9,49
13.5,81.3,0.736,10.7,6.0,99.9,12.6,104.7,48
15.5,65.4,0.0,22.5,2.0,60.0,15.9,224.4,63
16.1,72.6,0.0,15.1,2.0,69.4,15.7,85.0,40
22.8,74.1,0.0,11.3,2.0,45.5,15.4,121.5,50
20.9,75.8,0.0,11.1,1.0,12.6,13.0,155.2,59
18.9,64.7,0.0,12.0,2.0,50.7,16.0,64.6,53
16.5,60.8,0.0,7.1,1.0,4.0,15.2,129.3,58
12.2,72.0,0.0,7.5,2.0,37.5,15.4,125.5,54
13.9,72.8,0.381,21.9,3.0,24.3,16.0,208.1,20
19.5,71.7,0.0,19.9,2.0,60.5,15.6,273.7,66
21.0,78.6,0.0,16.7,2.0,48.5,10.5,200.8,65
19.4,84.5,0.0,17.2,2.0,62.4,8.2,202.5,68
68.4,62.1,0.0,9.3,1.0,6.9,9.6,324.5,48
59.6,77.8,0.0,6.6,2.0,53.7,7.6,130.1,57
60.7,27.7,0.0,4.7,1.0,0.8,9.9,146.0,42
13.3,62.8,0.0,13.3,1.0,0.9,16.0,230.0,37
16.9,59.2,0.0,12.4,1.0,0.6,16.0,358.8,56
24.5,57.9,0.0,7.5,1.0,0.9,11.2,317.7,51
15.7,28.3,0.0,6.9,1.0,1.4,16.0,121.2,37
15.5,47.6,0.0,14.2,1.0,0.6,15.9,138.5,40
13.8,55.0,0.0,4.9,1.0,1.4,13.8,144.6,54
12.8,36.5,0.0,10.0,1.0,2.4,16.0,193.3,39
11.3,52.3,0.0,13.7,1.0,1.0,16.0,217.8,27
21.3,34.8,0.0,16.2,1.0,0.3,15.8,288.3,45
20.0,76.1,0.0,10.8,2.0,39.6,14.2,296.7,36
20.5,72.9,0.0,12.4,1.0,11.2,14.0,301.6,68
23.3,67.8,0.0,13.9,1.0,4.1,15.9,296.1,55
21.6,72.7,0.0,11.6,2.0,24.0,14.8,138.2,52
23.8,60.2,0.0,14.6,1.0,2.1,16.0,267.2,42
20.5,72.1,0.0,13.1,1.0,8.3,15.4,268.5,44
16.1,44.5,0.0,9.4,1.0,0.7,14.5,76.5,62
14.1,41.7,0.0,5.7,1.0,5.0,16.0,103.5,51
25.6,59.6,0.0,19.9,1.0,3.0,15.9,138.2,52
11.5,59.4,0.0,10.2,1.0,2.6,15.9,136.0,38
16.3,67.0,0.0,23.3,2.0,53.2,15.9,263.3,32
20.7,69.9,0.0,20.3,2.0,20.5,15.8,338.2,51
19.0,81.7,0.0,19.7,2.0,71.5,12.3,241.0,47
19.5,77.1,0.0,15.4,2.0,52.1,8.8,207.6,80
19.1,74.7,0.0,16.8,2.0,44.4,11.2,207.2,64
20.0,32.5,0.0,18.1,1.0,3.5,15.9,190.7,45
14.8,55.8,0.0,11.8,1.0,12.0,15.7,124.8,56
63.9,66.1,0.0,6.6,2.0,37.8,7.4,231.3,59
64.9,61.1,0.0,12.7,1.0,3.8,6.6,325.6,35
66.8,72.0,0.0,7.9,2.0,56.3,7.7,341.1,58
69.2,67.7,0.0,6.9,1.0,1.7,9.7,327.8,35
73.4,69.8,0.0,5.5,1.0,8.9,6.8,331.2,67
80.0,67.3,0.0,8.7,1.0,5.5,6.9,258.3,81
61.1,34.7,0.0,3.9,1.0,0.2,9.9,139.0,37
15.2,67.6,0.0,15.4,5.0,99.7,15.7,58.2,52
22.0,43.5,0.0,16.1,1.0,0.6,15.9,345.6,55
22.0,68.5,0.0,15.8,1.0,2.4,15.7,354.4,54
20.7,75.6,0.0,18.4,2.0,26.1,12.9,264.8,58
22.5,68.0,0.28,19.3,4.0,11.6,15.6,269.1,51
17.2,48.8,0.415,23.1,4.0,17.0,16.0,237.9,57
20.8,68.4,0.236,11.5,4.0,15.9,14.7,162.5,69
21.3,69.6,0.0,14.9,1.0,1.9,16.0,320.6,35
21.3,73.7,0.0,14.1,2.0,62.1,14.5,146.0,57
26.1,70.3,0.218,15.0,3.0,55.5,16.0,223.3,28
